Assigned,Database,Citation,Year,Article_Type,Terminology_Type,Abstract, QuantCrit/Critical Quant, Analysis_Notes,Positionality,Critical_paradigm,Additional_Notes,Higher Ed/QuantCrit/CriticalQuant,Journal
Patricia,Education Source,"Cuellar, M. G. (2021). Latina/o students as agents of change: The influence of cultural assets and college experiences. Race Ethnicity and Education, 24(6), 789-809.",2021,Scholarly and/or Theoretical,Critical Quant,"Enhancing the civic engagement of Latina/os can promote the
economic and political advancement of this racial/ethnic group.
Employing a critical quantitative longitudinal design with data
from UCLA’s Cooperative Institutional Research Program (CIRP),
this study examines the factors that influence Latina/o college
students’ social agency, which represents values associated with
civic engagement. The study draws from Critical Race Theory,
including community cultural wealth. Multiple regression analyses
indicate that cultural assets and Latina/os’ college experiences
shape their commitment to social change. Specifically, Latina/o
students draw from various forms of capital (aspirational and
spiritual) as they engage in their college environment and experience
marginalization and empowerment, which collectively influence
their social agency. Also, findings suggest some differences
within the monolithic Latina/o group. By understanding the factors
that motivate Latina/o students’ social agency, colleges and
universities can more effectively prepare these future change
agents to reduce social, economic, and political inequities.","Uses critical theory like CRT and community cultural wealth & tries to disaggregate race/ethnicity for Latina/o students. Other than that, does not directly discuss how she uses critical quant methods",Creates multiracial groups-- Multiracial White Latino and Multiracial non-White Latino,Includes a brief positionality statement,Poses some recommendations like collecting data of student involvement outside the conventional activities usually collected; further disaggregating intra-ethnicity ,,1,Race Ethnicity and Education
Patricia,Education Source,"Frank, T. J., Powell, M. G., View, J. L., Lee, C., Bradley, J. A., & Williams, A. (2021). Exploring racialized factors to understand why Black mathematics teachers consider leaving the profession. Educational Researcher, 50(6), 381-391.",2021,Empirical Study,QuantCrit,"Research on the attrition of teachers of color suggests that, under certain organizational conditions, they leave teachingat higher rates than other teachers. Additionally, research has identified microaggressions experienced by Black teachers.Building on the literature, we explored how racism and microaggressions may help us understand Black mathematicsteachers’ attrition. We designed and administered the Black Teachers of Mathematics Perceptions Survey and found thatteachers’ experiences of microaggressions accounted for most of the variance in our modeling of teachers’ thoughts ofleaving the profession. These data reveal that anti-Black, racist microaggressions should be addressed as organizationalconditions to be mitigated. From a critical quantitative perspective, the data reveal sociocultural and sociopoliticalinfluences that often go unnoticed in large-scale policy work.","Uses critical race quantitative intersectionality (CRQI) which integrates CRT with qaunt methods to frame research
- Uses CRQI in the development & administering of the survey they created, BTOMPS
- Does not compare Black teachers to White teachers
- Uses qualitative data too (to avoid allowing ""numbers"" to stand alone
- Considered intersectional identities of participants when creating survey","Considers intersectionality; survey asks explicity about microagressions; experiences of racism, etc.",Does not include positionality statement or reflexivity,Offers some policy recommendations to support Black math teachers ,,1,Educational Researcher
Patricia,Education Source,"Grooms, A. A., Mahatmya, D., & Johnson, E. T. (2021). The retention of educators of color amidst institutionalized racism. Educational Policy, 35(2), 180-212.",2021,Empirical Study,QuantCrit,"Representing approximately 20% of the workforce, educators of
color (EOC) leave the field at a rate 25% higher than their White
counterparts. Despite workforce diversification efforts, few studies
investigate the psychosocial consequences of navigating racialized school
climate as reasons EOC may leave the workforce. This study relies on
survey data collected from educators of color (paraprofessionals through
superintendents) across the state of Iowa. Applying a critical quantitative
research design, we examined factors that link racialized school climate to
their job satisfaction and psychological well-being. Findings indicate that
a racialized school climate has a significant, direct effect on EOC’s racebased
stress and professional racial self-efficacy. We argue that solely
focusing on the retention of educations of color acts as a distraction from
dismantling the institutionalized racism that continues to permeate our
school systems.",#NAME?,#NAME?,#NAME?,#NAME?,,,Educational Policy
Patricia,Education Source,"Guenther, J. (2021). Taken for a ride? The disconnect between high school completion, employment and income for remote Australian First Nations Peoples. Race Ethnicity and Education, 24(1), 132-147.",2021,Empirical Study,QuantCrit,"‘Education is the key’ is often used as a metaphor in remoteAustralian First Nations communities to indicate the importanceof learning to achieve some measure of socio-economic advantage—education is seen as a vehicle for advancement. FirstNations people have enthusiastically bought into education andtraining vehicle. High school completion data suggest that ‘gaps’are closing. But the vehicle appears to be breaking down as it headsalong the road towards jobs and economic participation.This article presents an analysis of Census data to show trends inhigh school completion, employment and income. The data suggestgrowth in educational achievement. But a ‘break down’ of thedata into non-Indigenous, First Nations Indigenous language speakersand First Nations English speakers shows little change in theeconomic fortunes of language speakers. In these latter findings a‘new narrative’, built on QuantCrit propositions, takes shape andexplains why the vehicle breaks down.",#NAME?,"- looks at 12 year completion rates on employment and income in Very Remote Australia for Indigenous language speakers, Indigenous English speakers, and non-indigenous people",#NAME?,#NAME?,,,Race Ethnicity and Education
Patricia,Education Source,"Kornbluh, M., Rogers, L. O., & Williams, J. L. (2021). Doing anti-racist scholarship with adolescents: Empirical examples and lessons learned. Journal of Adolescent Research, 36(5), 427-436.",2021,Scholarly and/or Theoretical,QuantCrit,"The goal of this two-part special issue is to present and engage theoriesand methods for pursuing anti-racist developmental science and to providea critical self-evaluation of the field of adolescent development. The firstvolume in this series encompasses empirical-focused manuscripts thatengage in doing anti-racist scholarship through critical methodologicalapproaches (e.g., QuantCrit, Critical Qualitative Research, and Youth-Participatory Action Research) with opportunities for critical self-reflectionfor scholars, as well as centering research around adolescents who are",#NAME?,N/A,#NAME?,- provides guideposts at the end for engaging in anti-racist research for development scholars: (1) address development; (2) (Re)Consider Framing; (3) Define Terminology; (4) Justify Theory & Methods; (5) Naming and Capitalization ,,,Journal of Adolescent Research
Patricia,Education Source,"Sabzalian, L., Shear, S. B., & Snyder, J. (2021). Standardizing Indigenous erasure: A TribalCrit and QuantCrit analysis of K–12 US civics and government standards. Theory & Research in Social Education, 49(3), 321-359.",2021,Empirical Study,QuantCrit,"This article details a national study of U.S. K–12 civics and governmentstate-mandated standards, drawing specific attention to how Indigenousnationhood and sovereignty are represented. Utilizing QuantCrit methodologiesinformed by Tribal Critical Race Theory, this study makes visiblecolonial logics embedded within state civics and government standardsthat normalize the erasure of Indigenous nationhood, or that subtly anddiscursively erase Indigenous nationhood in other ways. Additional attentionis also given to states that explicitly affirm contemporary Indigenousnationhood and sovereignty within the standards. By examining the waysstate standards erase and/or affirm Indigenous nationhood and sovereignty,our hope is to support Indigenous and allied educators in theircollective efforts to transform standards in their respective states to moreresponsibly reflect and support Indigenous nationhood and sovereignty.","- authors outline QuantCrit tenets and apply both QuantCrit and TribalCrit to ""document racial and colonial inequities within state standards and to use numbers, and the story they tell, for social justice as well as for Indigenous self-determination and sovereignty"" (p. 327)","- downloaded civics and government state-mandated standards from each state's department of education website and conducted a content analysis of each and coded for inclusion or exclusion of the mention of: sovereignty, tribal government or nation, tribal citizenship, treaties, treaty rights, and legal decisions about topics mentioned",#NAME?,#NAME?,,,Theory & Research in Social Education
Patricia,Education Source,"Suzuki, S., Morris, S. L., & Johnson, S. K. (2021). Using QuantCrit to advance an anti-racist developmental science: applications to mixture modeling. Journal of Adolescent Research, 36(5), 535-560.",2021,Methods-forward,QuantCrit,"How researchers use statistical analyses shapes their research toward
or away from an anti-racist agenda. In this article, we demonstrate how
developmental scientists can use the QuantCrit framework to critically
examine the process of conducting quantitative analyses. In particular, we
focus on mixture modeling to clearly demonstrate how the integration
of QuantCrit can be achieved within a statistical technique. We first
summarize the tenets of QuantCrit and how it has turned the lens of
critical race theory onto quantitative methodology. Second, we provide a
summary of the key concepts of mixture modeling. The main section of the
article is organized according to three “moments” that occur in quantitative
research: (1) development of the research question(s) and identification of
analysis variables; (2) decision-making about the role of race in planned
analyses; and (3) interpretation of the results through a theoretical
framework. We describe each moment, illustrate how researchers can use
QuantCrit principles within it, and offer as examples empirical articles from
adolescent research where these strategies have been implemented during
mixture modeling. It is our hope that readers will identify moments in their
own analyses in which these (and other) principles could be applied.",#NAME?,"- development of RQ's and identification of analysis variables
- decisions about role of race in planned analysis
- interpretation of results through a critical theoretical framework",#NAME?,#NAME?,,,Journal of Adolescent Research
Patricia,Education Source,"Young, J., & Cunningham, J. A. (2021). Repositioning black girls in mathematics disposition research: New perspectives from QuantCrit. Investigations in Mathematics Learning, 13(1), 29-42.",2021,Empirical Study,QuantCrit,"Young Black women face dual marginality in the classroom due to longstanding
racial and gender stereotypes. However, critical examinations of their academic dispositions remain relatively absent from current discourse on Black student achievement. The mathematics dispositions of Black girls (N = 1707) who completed the High School Longitudinal Study of 2009/2012 HSLS:09/12) were analyzed through cluster analysis. The results of this study suggest that the mathematics dispositions of young Black women can be characterized in four distinct categories. Within these categories, several trends that carry direct implications for the preparation and motivation of young Black women in mathematics are provided.",#NAME?,#NAME?,#NAME?,#NAME?,,,Investigations in Mathematics Learning
Krystle,Web of Science,"Anyon, Y., Wiley, K., Samimi, C., & Trujillo, M. (2021). Sent out or sent home: understanding racial disparities across suspension types from critical race theory and quantcrit perspectives. Race Ethnicity and Education, 1-20.",2021,Empirical Study,Critical Quant,"Although in-school suspensions may be viewed as less severe thanvout-of-school suspensions, both discipline consequences limit students’ access to learning opportunities and are negatively associatedvwith a range of educational outcomes. Moreover, if sending students out of class perpetuates the same racial disparities asvsending them home, this practice does not realize the equity goals of discipline reforms over the last decade. Our study draws on Critical Race Theory and QuantCrit to understand racial discipline gaps across in-school and out-of-school suspensions using data from students and schools in one large district. Results of multilevel regression models indicate similar racial disparities in both suspension types, suggesting neither approach is equitable. These findings illustrate the limits of race-neutral policies in mitigating exclusionary discipline gaps. Addressing the thorny issues that contribute to racial disparities will likely require greater resources for high quality implementation of school-wide culture change initiatives that are explicitly anti-racist.",Goes into extensive detail on CRT and QuantCrit in Lit review,"100,000 K-12 students enrolled in 2000 schools in one district in US 201802019. Regression of race and discipline outcome (OR). multilevel model-- students within schools. Controlled for sociodemographic and school scomposition variables",Explicit Positionality Statement located right before Methods section,Lots of moments where authors emphasize and remind readers of quantcrit principles,Argues for anti-racist and healing-centered practices,,Race Ethnicity and Education
Krystle,Web of Science,"Cruz, R. A., Kulkarni, S. S., & Firestone, A. R. (2021). A QuantCrit Analysis of Context, Discipline, Special Education, and Disproportionality. AERA Open, 7, 23328584211041354.
Cruz, RA; Kulkarni, SS and Firestone, AR
Aug 2021 | AERA OPEN 7",2021,Empirical Study,QuantCrit,"Using a dis/ability critical race theory (DisCrit) and critical quantitative (QuantCrit) lens, we examine disproportionate
application of exclusionary discipline on multiply marginalized youth, foregrounding systemic injustice and institutionalized
racism. In doing so, we examined temporal-, student-, and school-level factors that may result in exclusion and othering (i.e.,
placing into special education and punishing with out-of-school suspensions) within one school district. We frame this study
in DisCrit and QuantCrit frameworks to connect data-based decision making to sociocultural understandings of the ways in
which schools use both special education and discipline to simultaneously provide and limit opportunities for different student
groups. Results showed a complex interconnectedness between student sociodemographic labels (e.g., gender, race, and
socioeconomic status) and factors associated with both special education identification and exclusionary discipline. Our
findings suggest that quantitative studies lacking in-depth theoretical justification may perpetuate deficit understandings of
the racialization of disability and intersections with exclusionary discipline.",Goes into DisCrit and QuantCrit in Lit Review. Add context for each tenet of QuantCrit in their paper before Methods Section and how it's applied to their study,"obtained student-level administrative
data from a midsized school district in California. The use
of a single district as a case-based analysis was an intentional
decision; rather than using a nationally representative
data set, analyzing data from a single district provides a
more holistic and multidimensional understanding of phenomena
from a contextual standpoint. series of
mixed multilevel logistic regression models and discretetime
hazard models to hold constant control variables for
each research question.","Has positionalities in Purpose of Study section before lit review. interpret these findings through
a sociohistorical perspective, considering the legal and historical
mechanisms through which dis/ability and race are
constructed, in discussion","special education labeling and exclusionary school discipline
represent ideology–ontology circuits in school practices
(see Artiles & Jacks, n.d.), in that a student who does
not conform to White-centered, neurotypical expectations
for learning and behavior is understood to have an academic
or behavioral deficit. As a result, the student is (sometimes)
given interventions aimed at “fixing” their deficit or supporting
conformity to unidimensional expectations for learning.",No,,AERA Open
Krystle,Web of Science,"Morris, D. S. (2021). Challenging the Stereotype that Minority Segregated Schools are Unsafe: Are Crime and Violence Really More Prevalent in Segregated Minority High Schools?. Race Ethnicity and Education, 1-22.",2021,Methods-forward,QuantCrit,"There is a longstanding stereotype that segregated high schools serving a large majority of minority students are unsafe. But it is unclear if
this stereotype has any merit. I use a QuantCrit theoretical framework
along with data from the nationally representative Education
Longitudinal Study and multilevel logistic regression models to
explore how school racial segregation is related to student reports of
victimization in high school, as well as student reports of peer
disruptive behavior. Results indicate that attending a segregated minority high school is not related to increased chances of victimization,
but students who attend such schools face a more disrupted learning
environment.",,,,,,,Race Ethnicity and Education
Krystle,Web of Science,"Ramlackhan, K., & Wang, Y. (2021). Urban School District Performance: A Longitudinal Analysis of Achievement. Urban Education, 00420859211044947.",2021,Empirical Study,QuantCrit,"We used the Stanford education data archive (SEDA) data to examine the heterogeneity among urban school districts in the United States. The SEDA 2.1
includes data sets on students’ mathematics (Math) and English language arts
(ELA) achievement from 2008 to 2014 at the district level. Growth mixture
modeling was used to uncover the underlying growth trajectories for urban
student achievement from the third to the eighth grade. Two and three
growth patterns were observed for ELA and Math achievement, respectively,
over time. We used the critical theoretical framework QuantCrit to centralize
race in the analysis of the data and shared implications for future research.",Cover the QuantCrit tenets,Stanford Education Data Archive (SEDA) 2008-2014. Growth mixture modeling to uncover growth trajectories for 3rd to 8th grade. ,no positionality statement,"Does not provide recommendations for practice, transformation, only that researchers address strucutural barriersand inequities. The GMM is really difficult to understand-- how to make quant research more accessible?",Wording matters--achievement gap vs. opportunity gap. They have lots of lit to contextualize education and racism. ,,Urban Education
Krystle,Web of Science,"Street, C., Guenther, J., Smith, J., Robertson, K., Ludwig, W., Motlap, S., ... & Larkin, S. (2021). Do numbers speak for themselves? Exploring the use of quantitative data to measure policy ‘success’ in historical Indigenous higher education in the Northern Territory, Australia. Race Ethnicity and Education, 1-22.",2021,Empirical Study,QuantCrit,"‘The numbers speak for themselves’ is a phrase often linked to
statistics supporting claims about the success (or otherwise) of
policies. Quantitative data are usually viewed as objective and
somehow exempt from the same critique that qualitative data
faces. QuantCrit theory challenges these assumptions by considering how structural racism impacts on the use of statistics in research
and evaluation. This paper applies QuantCrit to the Indigenous
higher education policy context in the Northern Territory (NT),
Australia. It aims to elicit hidden assumptions within the use of
statistics to measure the success of Indigenous higher education
policies in the NT. We explore the historical utility of Indigenous
higher education student statistics for policy evaluation in the NT.
We argue that quantitative success measures should always be
considered within the context of the structural racism that shapes
policy goals. We conclude by highlighting that quantitative data
can be useful for Indigenous higher education policy evaluation
and research, but that alternative views for measuring policy success must be considered.","Contextualize the data. And provide  a QuantCrit analysis by interrogating the numbers because #s are not neutral). Talk about how the data disguise alternative measures of success which are not captured in data collections. Place high priority on importance of qualifications for economic prosperity--but this outcome does not correlate with values of indigenous people. Also, this study is about Australia. May be one of few international studies","3 datasets (indigenous HE and enrollment data, enrolment and completion data, and Census data). ",No positionality statement,"They provide an ""Alternative view of Indigenous Higher Education Policy Success""","demonstrated
several racialized issues associated with using these data for reflecting on the success
of policies – including that viewing raw enrolment and completion data can mask the true
story such as a lack of correlation with population growth.",1,Race Ethnicity and Education
Krystle,Web of Science,"Van Dusen, B., Nissen, J., Talbot, R. M., Huvard, H., & Shultz, M. (2021). A QuantCrit investigation of society’s educational debts due to racism and sexism in chemistry student learning. Journal of Chemical Education, 99(1), 25-34.",2021,Empirical Study,QuantCrit,"The American Chemical Society holds supporting diverse student populations engaging in chemistry as a core value. We analyzed chemical concept inventory scores from 4,612 students across 12 institutions to determine what inequities in content knowledge existed before and after introductory college chemistry courses. We interpreted our findings from a Quantitative Critical (QuantCrit) perspective that framed inequities as educational debts that society owed students due to racism, sexism, or both. Results showed that society owed women and Black men large educational debts before and after instruction. Society’s educational debts before instruction were large enough that women and Black men’s average scores were lower than White men’s average pretest scores even after instruction. Society would have to provide opportunities equivalent to taking the course up to two and a half times to repay the largest educational debts. These findings show the scale of the inequities in the science education systems and highlight the need for reallocating resources and opportunities throughout the K−16 education system to mitigate, prevent, and repay society’s educational debts from sexism and racism.","Society’s educational debts before instruction were large
enough that women and Black men’s average posttest scores
did not reach the White men’s average pretest scores. Women
and Black men’s average posttest scores were 2.4−9.2
percentage points below White men’s average pretest scores.
To contextualize the magnitude of society’s educational debts,
society would have to provide opportunities equivalent to
taking this course two and a half times for White Hispanic
women, who had the average learning gains of 5.8 percentage
points, to repay the educational debt owed to White Hispanic
women before instruction.",Learning About STEM Student Outcomes (LASSO) Platform. database of anonymized studenta nd course data from students who consented to share data. CCI pretest during first week of class. posttest during last week of class. 4612 students in 39 first semester intro college chem courses at 12 institutions (diverse inst. types),,Doesn't talk about what to do or how to transform chemistry--just leaves it as is with the fact that we owe debt to minoritized groups. Doesn't talk about transforming or moving toward more just chem education,,1,Journal of Chemical Education
,Proquest,"Suárez, M. I., Dabney, A. R., Waxman, H. C., Scott, T. P., & Bentz, A. O. (2021). Exploring Factors That Predict STEM Persistence at a Large, Public Research University. International Journal of Higher Education, 10(4), 161-174. https://www.proquest.com/scholarly-journals/exploring-factors-that-predict-stem-persistence/docview/2595755117/se-2?accountid=14512",2021,Empirical Study,QuantCrit,"The present study explores demographics, pre-university characteristics and multi-year (2003-2013) tracking of a census of 53,077 students who initially declared a STEM major upon entering a research university in the United States Southwest and seeks to predict graduation with a STEM and non-STEM degree. Guided by QuantCrit theory, we use multilevel models to determine factors that predicted persistence in any major and factors that predicted persistence in STEM. We also use marginal effects to explore the intersection of ethnicity, gender, and first-generation status. Results highlight the disparity that exist amongst Black students and their White counterparts with regards to persistence in any major. We also highlight the gap between first-generation White and Black first-generation females and their Asian and International counterparts with regards to persistence in STEM. Implications for future research and practitioners suggest further attention needs to be paid to Black first-generation students in STEM.","Very short article. Cite Gillborn for quantcrit and that's unfortunate because history of quantcrit is getting lost. Also they said ""This analytical lens for this study is guided by quantitative critical research theory,"" and it's CRITICAL RACE THEORY","Use census tracking of 53,077 students who declared STEM when they started a research university in US Southwest. Results highlight the disparity that exist amongst Black students and their White counterparts with regards to persistence in any major. We also highlight the gap between first-generation White and Black first-generation females and their Asian and International counterparts with regards to persistence in STEM.",,,,1,International Journal of Higher Education
,Proquest,"Nissen, J. M., Her Many Horses, I., & Van Dusen, B. (2021). Investigating Society's Educational Debts Due to Racism and Sexism in Student Attitudes about Physics Using Quantitative Critical Race Theory. Physical Review Physics Education Research, 17(1)http://dx.doi.org/10.1103/PhysRevPhysEducRes.17.010116",2021,Empirical Study,QuantCrit,"The American Physical Society calls on its members to improve the diversity of physics by supporting an inclusive culture that encourages women and Black, Indigenous, and people of color to become physicists. In the current educational system, it is unlikely for a student to become a physicist if they do not share the same attitudes about what it means to learn and do physics as those held by most professional physicists. Evidence shows college physics courses and degree programs do not support students in developing these attitudes. Rather physics education filters out students who do not enter college physics courses with these attitudes. To better understand the role of attitudes in the lack of diversity in physics, we investigated the intersecting relationships between racism and sexism in inequities in student attitudes about learning and doing physics using a critical quantitative framework. The analyses used hierarchical linear models to examine students’ attitudes as measured by the Colorado Learning Attitudes about Science Survey. The data came from the Learning About STEM Student Outcomes database and included 2170 students in 46 calculus-based mechanics courses and 2503 students in 49 algebra-based mechanics courses taught at 18 institutions. Like prior studies, we found that attitudes either did not change or slightly decreased for most groups. Results identified large differences across intersecting race and gender groups representing
educational debts society owes these students. White students, particularly White men in calculus-based courses, tended to have more expertlike attitudes than any other group of students. Instruction that addresses society’s educational debts can help move physics toward an inclusive culture supportive of diverse students and professionals.",,,,,,1,Physical Review Physics Education Research
Patricia,Education Source,"Arellano, L. (2022). Questioning the Science: How Quantitative Methodologies Perpetuate Inequity in Higher Education. Education Sciences, 12(2), 116.",2022,Methods-forward,QuantCrit,"Higher education is in a moment of pause, facing an opportunity to transform or continue to
perpetuate the status quo. The COVID-19 pandemic, coupled with the recognition of racial violence,
has created an opportunity for institutions to question their own policies and practices. The purpose of
this inquiry is to question the science behind established statistical practices. Specifically, the question
guiding this investigation is: How can higher education quantitative scholars (students and faculty)
identify and be critical of statistical practices that perpetuate inequity, forms of oppression, and
White supremacy? Using a QuantCrit framework, five examples are presented that illustrate multiple
forms of oppression, subjectivity, and bias including: (a) comparing across groups, (b) eliminating
outliers, (c) addressing non-response bias, (d) small sample sizes, and (e) theory development. Two
recommendations are discussed that could help transform higher educational quantitative research
and training into a more inclusive, equitable, and anti-racist educational environment.",Introduced QuantCrit tenets and also refers to critical quant scholarship; reviews literature on quantcrit/critical quant work,"Discusses five ways quantitative work has perpetuated inequality/racism:(a) comparing across groups, (b) eliminating
outliers, (c) addressing non-response bias, (d) small sample sizes, and (e) theory development.",Does not include positionality statement ,"Ends w/ two recs for researchers: 1) educate yourself or in other words become familiar with the literature/scholarship on critical quant methods & CRT, etc.; 2) address inequity and racism in curriculum (aka do your part) as faculty/grad student in HE",,1,Education Sciences
Patricia,Education Source,"Reynolds, A. L., & Tabron, L. A. (2022). Cultivating Racial Diversity or Reproducing Whiteness?: A QuantCrit Analysis of School Districts’ Early Principal Hiring Practices. Leadership and Policy in Schools, 21(1), 95-111.",2022,Empirical Study,QuantCrit,"The purpose of our study was to illuminate patterns in district early principalhiring practices (EPHPs) that suppress, reproduce, or build equity and diversityin the principalship. Using Quantitative Criticalism as a framework, wefound that district EPHPs do not disrupt longstanding patterns of inequityand exclusion. Instead, the practices perpetuate the reproduction ofWhiteness in the principal pipeline. We illustrate ways district leaders’ actionsand inactions in EPHPs reproduce or disrupt historical patterns of BIPOCexclusion from the principalship.",#NAME?,"- use important contexual information about schools to guide analysis (secondary national data)
- use data from a survey of K-12 district principals hiring practices to inform their development of the EPHP EC",#NAME?,#NAME?,,,Leadership and Policy in Schools
Patricia,Education Source,"Young, J. L., & Young, J. (2022). Underrepresentation in gifted education revisited: The promise of single-group summaries and meta-analytic QuantCrit. Gifted Child Quarterly, 66(2), 136-138.",2022,Empirical Study,QuantCrit,"Many statistical measures are commonly used to document the persistence of inequity within gifted education (Young, Young, & Ford, 2017; Ford, 2013; Hodges et al., 2018; Yoon & Gentry, 2009). Thus, in response to the challenges presented by Peters (2021), we contend that an approach that considers critical race theory as a lens for the design, analysis, and interpretation of representation data in gifted
education is necessary but remains elusive. In this commentary, we present an example of an alternative analysis (i.e., single-group summary). Borrowing from the work of Ford (2013) and Lamb et al.(2019), we examined Black student representation in giftededucation meta-analytically using data from the Office ofCivil Rights Data Collection to provide an example of theutility of single-group summaries. A single-group summaryis described as the estimation of population parameters for asingle group on a particular outcome. We aim to present anovel application of QuantCrit and meta-analytic thinking tosupport more informed and equitable decisions in gifted education.Using data from the Office of Civil Rights DataCollection database, we computed the relative difference incomposition index (RDCI), the Equity Index (EI), and theInequity Score (IS) in the current single-group summary.",- Mentions QuantCrit 2 times in the article but does not discuss in length what it is or how they apply it,#NAME?,#NAME?,#NAME?,"Not sure we want to include this piece. It is labeld a ""commentary"" and is literally 2 pages long",,Gifted Child Quarterly
Krystle,Web of Science,"Alvarez, C. H. (2022). Structural Racism as an Environmental Justice Issue: A Multilevel Analysis of the State Racism Index and Environmental Health Risk from Air Toxics. Journal of racial and ethnic health disparities, 1-15.",2022,Empirical Study,QuantCrit,"Communities of color and poor neighborhoods are disproportionately exposed to more air pollution—a pattern known as
environmental injustices. Environmental injustices increase susceptibility to negative health outcomes among residents in
afected communities. The structural mechanisms distributing environmental injustices in the USA are understudied. Bridging
the literatures on the social determinants of health and environmental justice highlights the importance of the environmental
conditions for health inequalities and sheds light on the institutional mechanisms driving environmental health inequalities.
Employing a critical quantitative methods approach, we use data from an innovative state racism index to argue that systematic racialized inequalities in areas from housing to employment increase outdoor airborne environmental health risks
in neighborhoods. Results of a multilevel analysis in over 65,000 census tracts demonstrate that tracts in states with higher
levels of state-level Black–white gaps report greater environmental health risk exposure to outdoor air pollution. The state
racism index explains four-to-ten percent of county- and state-level variation in carcinogenic risk and noncarcinogenic respiratory system risks from outdoor air toxics. The fndings suggest that the disproportional exposure across communities is
tied to systematic inequalities in environmental regulation and other structural elements such as housing and incarceration.
Structural racism is an environmental justice issue.","States tenets of QuantCrit and cites scholars. No positionality statement-- important to
explicitly state the role of structural racism in distributing environmental inequalities. As stated within the tenets
of QuantCrit, numbers are not neutral and therefore should
be contextualized within a critical theoretical framework.
We center the current analysis of environmental inequalities
within the systematic racism framework to emphasize the
structural mechanisms that place Black, Indigenous, and other
people of color, as well as poor people, in neighborhoods with
a higher exposure to environmental toxins. Moreover, the consequences of structural racism on air pollution compromises
the environmental quality for everyone","Uses 65,000 census tracts-- proxies for neighborhoods. Used state racism index to operationalize structural racism. Average of residential segregation and Black-white ratios in incarceration, educational attainment, economic status, and employment. Pro is that it's a standardized measure to compare across states. Use maps to visualize state racism index. 3 level model-- (census tracts within counties within states). Intercept recpresents overall average of environmental health risk when other factors are held at zero",Reflective on limitations of Racism measure. ,"Certain states
may score higher than others, but all states are characterized
by structural racism. Everyone, including the authors, have
a lot of work to do",Use maps to visualize racism index,,Journal of Racial and Ethnic Health Disparities
Krystle,Web of Science,"Curtis, M. G., Boe, J. L., King, V. E., & Osborne, K. R. (2022). Quantitative criticalism: Guidelines for conducting transformative quantitative family science research. Journal of Family Theory & Review.",2022,Scholarly and/or Theoretical,QuantCrit,"Historically, research has been used by systems of authority
to marginalize and oppress minoritized populations.
Family scientists have recently begun the work of disentangling
themselves from these oppressive legacies (e. g.,
White supremacist, sexist, heterosexist, cisgenderist, etc.).
As such, the field is at a vital crux in which there is a need
to challenge prevailing quantitative methodological
assumptions and practices in order to address and disrupt
how statistical analyses can shape family sciences away
from a social-justice agenda. Drawing upon principles of
critical social theory, critical race theory, and Black Feminist
scholarship, this article elaborates on how family scientists
can utilize Quantitative Criticalism, or QuantCrit,
as a framework for conducting social justice-orientated
quantitative research. We conclude by illustrating how the
tenets of QuantCrit can be utilized throughout the research
process. It is our hope that readers will identify moments
in their own scholarship in which these tenets can be
applied.","Goes into all the tenets of quantcrit, and even touches upon positionality and how it i s important to articulare how one's worldviews influence data collection and interpretations to acknowledge influence on research process. ""Furthermore, those who are highly statistically experienced
but less experienced with critical theory may not fully recognize how they reinforce
systemic oppression, while those with greater experience with critical theory but less statistical
training may not know how to properly conduct analyses to their fullest potential."" p. 424. Describes the tenets, assumptions, and applications in a table and with subsections in the paper. Talks about how this can apply to family science",n/a,"Yes, they talk about the importance of this","Do talk about all aspects of the critical paradigm (positionality informing the study, transforming structures and offering hope)","Family Science Research. Uses ""WEIRD"" acronym. Also has lots of suggestions for statistical techniques and strategies to analyze and present findings. Also found this critique of the term ""WEIRD"" http://getsyeducated.blogspot.com/2021/06/weird-times-three-reasons-to-stop-using.html",,Journal of Family Theory and Review
